location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,mean,NA,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.025,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.1,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.25,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.5,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.75,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.9,8988,COVID-19
DE,00+,2022-04-02,2022-03-05,-28 day ahead inc hosp,quantile,0.975,8988,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,mean,NA,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.025,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.1,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.25,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.5,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.75,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.9,8925,COVID-19
DE,00+,2022-04-02,2022-03-06,-27 day ahead inc hosp,quantile,0.975,8925,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,mean,NA,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.025,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.1,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.25,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.5,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.75,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.9,8965,COVID-19
DE,00+,2022-04-02,2022-03-07,-26 day ahead inc hosp,quantile,0.975,8965,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,mean,NA,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.025,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.1,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.25,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.5,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.75,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.9,9125,COVID-19
DE,00+,2022-04-02,2022-03-08,-25 day ahead inc hosp,quantile,0.975,9125,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,mean,NA,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.025,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.1,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.25,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.5,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.75,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.9,9432,COVID-19
DE,00+,2022-04-02,2022-03-09,-24 day ahead inc hosp,quantile,0.975,9432,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,mean,NA,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.025,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.1,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.25,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.5,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.75,9575,COVID-19
DE,00+,2022-04-02,2022-03-10,-23 day ahead inc hosp,quantile,0.9,9575,COVID-19
