"","Epiforecasts","KIT","KIT-frozen_baseline","LMU","MeanEnsemble","MedianEnsemble","RIVM","SU","SZ","ILM","RKI"
"Epiforecasts",1,1.64452309817677,0.267992190202564,0.903781828437627,1.61986233501869,1.31498012333976,1.45309477089306,1.11749840575731,0.806864801344677,2.95179786916323,NA
"KIT",0.608079023705211,1,0.162559572659785,0.548774575489772,0.985201224115966,0.799172010975225,0.880740780631553,0.666055958170548,0.490916037669088,1.81762382189154,NA
"KIT-frozen_baseline",3.73145202195684,6.15159097454606,1,3.37583672564323,6.06055495838351,4.91617932982502,5.42554551558556,4.1046600374175,3.01991466658507,11.0932068039231,NA
"LMU",1.10646172398565,1.82224185423954,0.296222857107955,1,1.79527490543214,1.45628468713584,1.60595413106545,1.2157017278695,0.894567750758047,3.270924706034,NA
"MeanEnsemble",0.617336410867569,1.01502106932248,0.16500139126974,0.557017756430616,1,0.811176429152666,0.893870124770615,0.676399662104733,0.49829012150243,1.75538791746424,NA
"MedianEnsemble",0.76046776848628,1.25129507323424,0.203409992376253,0.686678922626565,1.23277743788065,1,1.10459488395972,0.835977182210619,0.614280819307005,2.24350877280548,NA
"RIVM",0.688186359232033,1.13540785437791,0.184313263454776,0.622682790657641,1.11873075549607,0.905309280824505,1,0.758202173795007,0.557809767080196,2.04649171447657,NA
"SU",0.894855862744892,1.50137535402685,0.243625535582519,0.822570188949626,1.4784158775129,1.19620489802801,1.31890943413513,1,0.741472161013857,2.62662699373398,NA
"SZ",1.23936500679352,2.03700821172616,0.331135184402678,1.1178583166592,2.00686298372689,1.62791994893824,1.79272587002986,1.34866830149448,1,3.72503580514894,NA
"ILM",0.338776584415476,0.550168845696209,0.0901452589567113,0.305723943493796,0.569674651426654,0.44573037204999,0.488641118322715,0.380716410204257,0.26845379542869,1,NA
"RKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
