"","Epiforecasts","KIT","KIT-frozen_baseline","LMU","MeanEnsemble","MedianEnsemble","RIVM","SU","SZ","ILM","RKI"
"Epiforecasts",1,1.20562111246996,0.268237074227499,0.896268798842558,1.19096799837318,1.11197543958671,1.08723863787001,1.0422263140791,0.724097259632684,NA,NA
"KIT",0.829447982999645,1,0.222992329020598,0.742845085823845,0.988344749695498,0.923207317009563,0.901677360131378,0.859807998856789,0.601453662351733,NA,NA
"KIT-frozen_baseline",3.72804543473313,4.48445919369553,1,3.36437670594224,4.43219169931269,4.14008554045053,4.04181985954735,3.85089038354659,2.69719440571508,NA,NA
"LMU",1.11573670900002,1.34617569542236,0.297231876036288,1,1.3299572998332,1.24055307528918,1.2092623948949,1.15977954721236,0.808052307692235,NA,NA
"MeanEnsemble",0.839653123648967,1.01179269714145,0.225622010021605,0.751903839413053,1,0.934094421297829,0.912096519158813,0.870890408605445,0.608546423236464,NA,NA
"MedianEnsemble",0.899300438120893,1.08318032317939,0.241540903015057,0.806092072898125,1.07055558538783,1,0.976389052143192,0.932609751738146,0.65148277236358,NA,NA
"RIVM",0.919761278866143,1.1090441484017,0.247413302608689,0.826950382499006,1.09637519603984,1.02418190556826,1,0.951606583291451,0.667810946091161,NA,NA
"SU",0.959484505899842,1.16305035697459,0.259680203901057,0.862232828992021,1.14825010141207,1.07225985803414,1.05085443665298,1,0.701892706603124,NA,NA
"SZ",1.38102994687105,1.66263847507374,0.370755625875948,1.23754364721259,1.64326000748086,1.5349600057297,1.49742978286476,1.42471917800599,1,NA,NA
"ILM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
