"","model","relative_WIS","rescaled_relative_WIS","rescaled_relative_WIS_imputed"
"1","Epiforecasts",1.12617303749683,0.267910170765129,0.269017063505968
"2","ILM",0.381403083683779,0.0907336278510004,0.0906895673663397
"3","KIT",0.683817453139115,0.162676289116176,0.162845650529362
"4","KIT-frozen_baseline",4.2035471601566,1,1
"5","LMU",1.24462413350943,0.296089013894413,0.296204327889754
"6","MeanEnsemble",0.690685296126769,0.164310109964613,0.165061104618764
"7","MedianEnsemble",0.85489807709547,0.20337539809203,0.203415338384602
"8","RIVM",0.775440551616211,0.184472903971731,0.183790595161509
"9","RKI",NA,NA,0.243486312436792
"10","SU",1.02033986856615,0.242733060839059,0.243177576447425
"11","SZ",1.39292725297295,0.331369483891089,0.33171296984503
