"","model","relative_WIS","rescaled_relative_WIS","rescaled_relative_WIS_imputed"
"1","Epiforecasts",1.04231083057224,0.246496647399237,0.247154084248542
"2","ILM",0.475436714597639,0.112436283651092,0.111670863144893
"3","KIT",0.708596705172105,0.167576414884969,0.167711342730582
"4","KIT-frozen_baseline",4.22849901436617,1,1
"5","LMU",1.23692640669941,0.292521389385927,0.292640752275402
"6","MeanEnsemble",0.665744104892069,0.157442180459361,0.158112212579852
"7","MedianEnsemble",0.811318576367658,0.191869165302211,0.191989667535427
"8","RIVM",0.747306879725458,0.176731004828548,0.176405012417862
"9","SU",0.957961102029953,0.22654873485256,0.226814943592351
"10","SZ",1.4081055331546,0.333003632818789,0.333214196972716
