model,spread,overprediction,underprediction,score
Epiforecasts,5.505238088001075,2.182766890564348,57.15797341589652,64.84597839446195
ILM,12.496121293213431,12.73148810820342,4.071547852423479,29.299157253840328
KIT,13.18410088060491,1.3798892242586425,29.438544356971715,44.00253446183527
KIT-frozen_baseline,0,9.43875698831047e-4,262.36970885064983,262.3706527263486
LMU,2.4439774507058325,2.088830631359492,72.24753710676167,76.780345188827
MeanEnsemble,6.726528611880387,1.206822872908693,33.55065293379386,41.484004418582934
MedianEnsemble,5.725956581717854,1.2049195631203906,43.44157824314653,50.372454387984774
RIVM,3.293505927746834,2.546651575027746,40.44334074949954,46.283498252274114
SU,5.773099853751129,1.716093858584602,52.02039108607939,59.50958479841513
SZ,5.214279463230514,2.4969699288599068,79.71437696648992,87.42562635858035
