model,spread,overprediction,underprediction,score
Epiforecasts,0.052291593771417656,0.018052146487329196,0.531443632833225,0.6017873730919719
ILM,0.11116619106900533,0.0922463458383024,0.05160105372045395,0.25501359062776163
KIT,0.11921849267793484,0.011854138907957801,0.275878176876526,0.4069508084624186
KIT-frozen_baseline,0,2.3434412170773772e-5,2.4318142076690514,2.431837642081222
LMU,0.02450868314179871,0.024448278765623045,0.6645819396915402,0.7135389015989619
MeanEnsemble,0.06194462285893831,0.010607841991049322,0.32140636662402455,0.3939588314740121
MedianEnsemble,0.05353149376709659,0.010127661280897166,0.404085068564534,0.4677442236125278
RIVM,0.03163255510194417,0.019478751904848962,0.3896790815639013,0.4407903885706944
SU,0.05450129215232445,0.014906577037991219,0.4709164242308454,0.540324293421161
SZ,0.04746070376014901,0.02047264656586988,0.7716138584100808,0.8395472087360997
