model,spread,overprediction,underprediction,score
Epiforecasts,0.027858886609151354,0.016890697210207008,0.4641463599684333,0.5088959437877916
ILM,0.0734620751328406,0.07825500125374793,0.019839152707497226,0.17155622909408574
KIT,0.09223826985276887,0.00812843620899308,0.20768621050292604,0.308052916564688
KIT-frozen_baseline,0,0,1.8916864869482266,1.8916864869482266
LMU,0.00935279236933713,0.008930335969596363,0.5420425961056949,0.5603257244446285
MeanEnsemble,0.040181590120266654,0.006264686320823433,0.26579758468697373,0.3122438611280638
MedianEnsemble,0.0322344013048082,0.005442025413482104,0.34712162014186276,0.38479804686015306
RIVM,0.017033927061276755,0.009303819530204996,0.32133643870371764,0.3476741852951994
RKI,0.01683031160936939,0.0407732902878415,0.4029961650963223,0.46059976699353317
SU,0.03431456705959355,0.012322431130146376,0.413378737104674,0.4600157352944139
SZ,0.03256076283288206,0.013895560454862756,0.581040619283951,0.6274969425716959
