model,spread,overprediction,underprediction,score
Epiforecasts,12.232960024117515,5.83830874974973,59.16023622047244,77.23150499433969
ILM,17.434630671166104,28.45785526809149,5.393363329583802,51.285849268841396
KIT,26.828338957630297,4.810573678290213,26.293607049118858,57.932519685039374
KIT-frozen_baseline,0,0,502.26994750656166,502.26994750656166
LMU,4.21644647544057,6.270427446569179,79.26694975628047,89.75382367829022
MeanEnsemble,12.789716910386202,4.121091113610799,28.315898012748406,45.226706036745405
MedianEnsemble,10.948906074240721,4.077934008248969,36.907911511061116,51.93475159355081
RIVM,6.111026176415448,8.038863892013499,40.54344019497563,54.693330263404576
SU,12.286026504499437,5.044466629171354,46.04991938507686,63.380412518747654
SZ,12.060853252155658,6.343301626902704,62.8895742494966,81.29372912855496
