model,spread,overprediction,underprediction,score
Epiforecasts,23.161423669818976,14.042650004387632,385.8837088091608,423.0877824833674
ILM,61.07517036437751,65.05993092074556,16.493947786041012,142.62904907116408
KIT,76.68539222702805,6.757849208077916,172.66692597317734,256.1101674082833
KIT-frozen_baseline,0,0,1572.7172729252886,1572.7172729252886
LMU,7.775758938295424,7.424535582039393,450.64536826710645,465.84566278744126
MeanEnsemble,33.40631826243894,5.208357967451847,220.9797740921679,259.5944503220587
MedianEnsemble,26.799155179388244,4.524411114914273,288.59124996110404,319.91481625540655
RIVM,14.161728965055858,7.735043719077698,267.15387092759124,289.0506436117248
RKI,13.992446401344246,33.89824812521393,335.04443476366805,382.9351292902262
SU,28.528571039611666,10.244668139527647,343.67633568783646,382.44957486697575
SZ,27.07048682760871,11.552542186626273,483.0676882897703,521.6907173040053
