model,spread,overprediction,underprediction,score
Epiforecasts,23.161423669818976,49.042302178560846,82.18068581385941,154.38441166223924
ILM,41.667965273672095,104.87229672962629,11.915642405949528,158.4559044092479
KIT,76.68539222702805,25.42695335594486,27.812552509568413,129.9248980925413
KIT-frozen_baseline,0,0,1167.1546504029623,1167.1546504029623
LMU,7.775758938295424,34.93384261132028,96.54474281980272,139.25434436941842
MeanEnsemble,31.964002551576066,30.486697576002737,23.495316924417338,85.94601705199615
MedianEnsemble,26.50995425833152,32.95195568970345,29.535862090425365,88.99777203846034
RIVM,14.161728965055858,89.80122133366525,20.744358527553906,124.70730882627501
RKI,13.992446401344246,96.86510875315058,44.91498895354265,155.77254410803747
SU,28.528571039611666,47.93572050907054,72.5696766966425,149.0339682453247
SZ,27.07048682760871,43.52767030777514,173.48571709311398,244.08387422849782
