model,spread,overprediction,underprediction,score
Epiforecasts,3.5498545227725016,2.543137813273564,20.343128726051958,26.436121062098028
KIT,6.22902189130092,1.1480714899052344,14.589746934770037,21.966840315976192
KIT-frozen_baseline,0,0.05221551336395469,98.36019299704236,98.41240851040631
LMU,2.016098702479143,2.3528479981841994,25.032194554476426,29.401141255139766
MeanEnsemble,3.453609932571756,1.4595888103772903,17.273272285102898,22.18647102805194
MedianEnsemble,3.069384792720943,1.434272551856273,19.25848207592541,23.76213942050262
RIVM,2.0648538235299845,3.5005912384171585,18.771339394022,24.33678445596914
RKI,1.0448062922643468,4.623519470075918,25.039520389109452,30.70784615144972
SU,3.733328831464437,3.127117622662741,18.578338165398765,25.438784619525958
SZ,2.888250861092686,2.5179599505615426,31.099207116081416,36.50541792773564
