model,spread,overprediction,underprediction,score
Epiforecasts,0.08842647230408868,0.07023411904767833,0.42617024882016047,0.5848308401719274
KIT,0.13408134429988094,0.03572651431520528,0.3349855141224355,0.5047933727375217
KIT-frozen_baseline,0,0.00660802864484641,1.9120340820468247,1.9186421106916711
LMU,0.06467692968182076,0.08246289482891303,0.5047595175366442,0.651899342047378
MeanEnsemble,0.08223970031946248,0.048657648998761835,0.374708728265867,0.5056060775840914
MedianEnsemble,0.0742577597417916,0.04806720157011993,0.4089392222603542,0.5312641835722656
RIVM,0.051042645452742764,0.08266660050524856,0.41278368265573717,0.5464929286137286
RKI,0.02457089715503734,0.14724431106628108,0.5366650547503141,0.7084802629716327
SU,0.09073572240128762,0.09564150612728638,0.38718744180992115,0.5735646703384951
SZ,0.06793278856111049,0.07268108796400988,0.6592507929783843,0.7998646695035048
